imf_iter,w2,mmd,kinetic_energy,loss_final
1,0.2358024177245427,0.03718376734534188,2.1545155560970306,3.0212864875793457
2,0.1956144542393718,0.0374503440526799,1.328376049399376,1.510788917541504
3,0.1542051785415635,0.032280897637779735,1.2986938679218292,1.646223545074463
4,0.18306540684631903,0.0502381794057811,1.2366318088769912,1.3120787143707275
5,0.26917558210089315,0.046003985238834366,1.1626935470104218,1.188367486000061
